# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "2" "-t" "gene" "-g" "gene_id" "-a" "/mnt/d/rna_seq/gtf/Oryza_sativa.IRGSP-1.0.50.chr.gtf" "-o" "counts.txt" "-M" "SRR12073954.bam" "SRR12073955.bam" "SRR12073956.bam" "SRR12073957.bam" "SRR12073958.bam" "SRR12073959.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12073954.bam	SRR12073955.bam	SRR12073956.bam	SRR12073957.bam	SRR12073958.bam	SRR12073959.bam
Os01g0100100	1	2983	10815	+	7833	1002	904	874	642	551	580
Os01g0100200	1	11218	12435	+	1218	6	0	2	3	8	2
Os01g0100300	1	11372	12284	-	913	0	0	0	0	0	0
Os01g0100400	1	12721	15685	+	2965	359	344	484	218	182	229
Os01g0100466	1	12808	13978	-	1171	0	0	0	0	0	0
Os01g0100500	1	16399	20144	+	3746	555	579	423	368	347	467
Os01g0100600	1	22841	26892	+	4052	177	166	190	120	148	117
Os01g0100650	1	25861	26424	-	564	0	0	0	0	0	0
Os01g0100700	1	27143	28644	+	1502	688	1041	1060	431	614	482
Os01g0100800	1	29818	34453	+	4636	305	394	309	267	200	231
Os01g0100900	1	35623	41136	+	5514	1792	1893	1663	1241	1493	1323
Os01g0101150	1	58658	61090	+	2433	6	16	2	5	9	0
Os01g0101175	1	60091	61086	-	996	0	0	0	0	0	0
Os01g0101200	1	62060	65537	+	3478	78	84	141	47	26	52
Os01g0101300	1	63350	66302	-	2953	9	12	14	8	6	6
Os01g0101600	1	72816	78349	+	5534	1323	1382	1218	839	820	926
Os01g0101700	1	82426	84095	+	1670	181	165	215	158	192	107
Os01g0101800	1	85337	88844	+	3508	3	0	3	0	0	0
Os01g0101850	1	86211	88583	-	2373	0	0	0	0	0	0
Os01g0101900	1	88883	89228	-	346	0	2	0	0	0	0
Os01g0102000	1	89763	91465	-	1703	83	103	108	55	55	77
Os01g0102300	1	134300	135439	+	1140	135	100	102	261	159	167
Os01g0102400	1	139826	141555	+	1730	1142	1100	803	801	876	1096
Os01g0102500	1	141959	144554	+	2596	429	462	490	365	402	422
Os01g0102600	1	145603	147847	+	2245	127	94	189	61	57	77
Os01g0102700	1	148085	150568	+	2484	1416	1775	1758	671	1088	981
Os01g0102800	1	152853	156449	+	3597	719	778	613	456	574	505
Os01g0102850	1	164577	168921	+	4345	64	55	44	49	55	36
Os01g0102900	1	169390	170316	-	927	967	708	1618	403	498	554
Os01g0103000	1	170798	173144	-	2347	96	144	137	17	57	37
Os01g0103050	1	172587	175073	+	2487	0	0	0	0	0	0
Os01g0103100	1	178607	180575	+	1969	0	0	1	4	0	5
Os01g0103075	1	178815	180433	-	1619	0	0	0	0	0	0
ENSRNA049442722	1	182074	182154	+	81	0	0	0	0	0	0
Os01g0103400	1	185189	185828	-	640	6	8	10	4	9	2
Os01g0103600	1	186250	190904	-	4655	358	423	410	133	240	239
Os01g0103650	1	187545	188586	+	1042	0	0	0	0	0	0
Os01g0103700	1	191037	196287	+	5251	139	110	83	49	54	74
